,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
5338,50,3,13,0.468,0.149,-13.976,0.0363,0.464,0.000276,0.152,0.124,97.965,430000,0.5714285714285717,0.6285714285714282,6,7.166666666666668,275,38.37209302325581,5,False
1952,43,0,4,0.7929999999999999,0.868,-4.001,0.173,0.0304,0.00961,0.085,0.85,124.985,202498,0.9696428571428573,0.9160714285714284,0,3.3749666666666664,236,69.9266165591759,0,False
3269,6,4,20,0.927,0.33,-11.088,0.39,0.0577,1.19e-05,0.177,0.251,98.949,208840,0.16855509355509354,-0.013444213444213442,7,3.4806666666666666,467,134.1696992913235,0,False
3484,44,2,10,0.589,0.72,-6.706,0.0273,0.161,0.00013000000000000002,0.0995,0.353,128.014,187915,0.5205882352941176,0.29803921568627456,0,3.1319166666666667,242,77.26897799537025,0,False
1302,29,0,4,0.649,0.924,-3.422,0.0557,0.000648,0.299,0.101,0.691,128.02,162656,0.8,0.166015625,3,2.710933333333333,101,37.25654141255164,0,False
2846,8,4,8,0.4270000000000001,0.8440000000000001,-4.597,0.4270000000000001,0.578,0.0,0.284,0.716,85.346,193733,0.5053571428571428,-0.04972222222222223,0,3.228883333333333,537,166.31136667475337,0,False
251,19,2,17,0.517,0.736,-4.558,0.0423,0.000319,3.81e-05,0.27,0.5,139.894,197467,0.5169444444444444,-0.3402777777777778,0,3.2911166666666665,199,60.465799348751965,0,False
6441,77,2,5,0.72,0.763,-4.0680000000000005,0.0523,0.406,0.0,0.18,0.742,101.965,251088,0.5594907407407413,0.2909928902116403,13,4.1848,1725,412.2060791435672,3,False
1022,0,3,13,0.418,0.8240000000000001,-6.3889999999999985,0.259,0.118,0.0,0.187,0.446,190.451,214627,0.6384114583333333,0.04010416666666667,6,3.5771166666666665,332,92.81218113284908,2,False
1410,0,3,13,0.835,0.197,-14.931,0.27,0.498,0.0,0.25,0.389,108.122,232000,0.5726851851851852,-0.056944444444444436,0,3.8666666666666663,193,49.91379310344828,0,False
3024,71,5,7,0.564,0.613,-5.055,0.0318,0.111,3.22e-06,0.0825,0.48,84.95100000000002,166693,0.5038194444444445,0.1440972222222222,4,2.778216666666667,502,180.69145075078137,0,False
6604,11,2,5,0.584,0.879,-5.961,0.0363,0.0891,9.9e-05,0.225,0.5429999999999999,103.199,326120,0.602417695473251,0.1917181069958848,0,5.4353333333333325,292,53.72255611431375,1,False
4184,69,5,15,0.423,0.845,-3.509,0.0559,0.14300000000000002,5.07e-06,0.213,0.317,116.602,278973,0.5916900093370682,0.12929505135387492,7,4.64955,244,52.47819681474552,0,False
3181,60,2,10,0.623,0.7509999999999999,-3.176,0.235,0.324,3.31e-06,0.158,0.59,91.0,205029,0.6271241830065362,0.29934640522875816,6,3.41715,414,121.15359290636934,0,False
742,63,2,5,0.7240000000000001,0.8909999999999999,-7.818,0.0995,0.00344,4.66e-05,0.3,0.8190000000000001,103.022,204707,0.2358276643990929,-0.03633786848072563,0,3.411783333333333,230,67.41342504164489,1,False
1197,24,0,1,0.446,0.928,-6.482,0.0907,0.0075200000000000015,1.9e-05,0.506,0.239,127.012,230551,0.27222222222222225,-0.0888888888888889,0,3.8425166666666666,40,10.40984424270552,0,False
4372,21,2,3,0.711,0.7240000000000001,-4.809,0.106,0.0835,0.0,0.0389,0.478,104.048,208947,0.4226262626262626,0.10540404040404044,0,3.48245,400,114.8616634840414,7,False
2431,0,4,20,0.693,0.698,-7.75,0.273,0.0187,0.0,0.172,0.5660000000000001,148.047,288640,0.5279106280193238,0.2397071256038648,8,4.810666666666667,775,161.10033259423503,8,False
3262,59,4,21,0.731,0.8540000000000001,-4.635,0.149,0.00256,1.49e-05,0.386,0.6509999999999999,150.16299999999995,219200,0.6655901116427433,0.0004508327259021283,7,3.653333333333333,1580,432.48175182481765,0,False
6778,65,4,20,0.8740000000000001,0.7140000000000001,-6.664,0.129,0.0155,0.0,0.0968,0.541,95.826,265600,0.3797709235209236,0.11699810606060602,29,4.426666666666667,1514,342.01807228915663,0,False
5641,21,2,3,0.565,0.782,-6.4129999999999985,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,231906,0.2486847643097643,0.10128367003367003,1,3.8651,532,137.6419756280562,4,False
3910,57,0,1,0.484,0.7240000000000001,-4.633,0.0522,0.0736,0.0,0.0631,0.433,128.03799999999998,221280,0.7692810457516341,0.14346405228758172,0,3.688,179,48.53579175704989,0,False
3150,11,0,4,0.503,0.757,-6.319,0.0602,0.00239,0.0004730000000000001,0.569,0.353,127.928,191540,0.3598765432098765,-0.04876543209876545,0,3.192333333333333,149,46.67432390101284,0,False
3554,54,2,17,0.653,0.76,-4.892,0.0556,0.00514,3.79e-05,0.0658,0.133,119.905,203680,0.6184415584415589,0.3438961038961039,5,3.3946666666666667,422,124.31264728986643,0,False
6025,69,3,23,0.647,0.732,-5.846,0.0891,0.0846,0.0,0.597,0.5479999999999999,67.295,222529,0.5389705882352942,0.20314171122994654,3,3.708816666666667,578,155.84485617604898,6,False
2939,40,3,23,0.525,0.254,-10.438,0.0518,0.989,0.0314,0.152,0.219,101.204,137933,0.3666666666666667,0.03333333333333334,0,2.2988833333333334,115,50.02428715390806,0,False
858,61,5,7,0.529,0.92,-4.168,0.0649,2.87e-05,0.00202,0.0582,0.438,111.132,195653,0.4836309523809523,-0.10382254464285716,4,3.260883333333333,350,107.33288015006157,0,False
3246,46,2,10,0.5489999999999999,0.442,-14.569,0.116,0.861,0.000315,0.0893,0.0437,126.028,201905,0.400877192982456,0.2087719298245614,0,3.365083333333333,259,76.96689036923307,0,False
5285,38,3,14,0.777,0.565,-10.315,0.0318,0.532,0.0,0.0719,0.825,108.062,281467,0.4801169590643274,0.2865497076023392,0,4.691116666666667,433,92.30211712207829,0,False
1221,41,5,7,0.527,0.512,-16.942,0.115,0.117,0.00117,0.0938,0.377,93.254,305560,0.19252232142857145,-0.04341517857142858,0,5.092666666666666,293,57.53370860060218,0,False
4955,0,0,18,0.732,0.606,-6.943,0.0547,0.00287,0.000182,0.139,0.903,130.08700000000002,204033,0.6083333333333333,0.2033333333333333,0,3.40055,199,58.51994530296571,0,False
6126,51,5,2,0.708,0.498,-10.337,0.0529,0.187,0.0115,0.0724,0.919,132.999,223827,0.6214285714285713,0.2482142857142857,0,3.73045,304,81.4915090672707,0,False
503,45,4,6,0.857,0.353,-6.146,0.077,0.374,0.0,0.133,0.0749,123.091,115122,0.3972222222222223,-0.12222222222222225,0,1.9187,262,136.55078959712304,0,False
5340,64,3,23,0.6559999999999999,0.479,-7.055,0.0348,0.0665,0.00272,0.168,0.708,184.374,261867,0.28336070060208,0.2258620689655173,4,4.36445,324,74.23615804969698,0,False
2691,53,2,3,0.394,0.944,-8.082,0.181,0.0906,0.0,0.473,0.616,207.687,234133,0.3057347670250897,-0.10681003584229401,24,3.9022166666666656,700,179.38522122041752,1,False
