,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Hit or Not,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance
4562,57,5,0,0.441,0.935,-8.49,0.0514,0.16699999999999998,0.0298,0.513,0.308,103.46700000000001,218667,0,0.6352941176470588,0.27009803921568626,0,3.64445,245,67.22550727819012,0
8062,50,3,13,0.33899999999999997,0.273,-9.945,0.0309,0.7290000000000001,0.0,0.152,0.304,96.804,251467,0,0.4528011204481792,0.3586834733893557,1,4.191116666666667,249,59.41137405703333,0
9568,48,5,0,0.6829999999999999,0.529,-8.888,0.0326,0.591,3.37e-05,0.08900000000000001,0.7909999999999999,130.409,227373,0,0.5294117647058825,0.23235294117647065,0,3.78955,329,86.81769603251045,0
11911,70,3,9,0.519,0.731,-3.9930000000000003,0.0402,0.0571,0.0,0.381,0.29600000000000004,82.96700000000001,173975,0,0.6714285714285714,0.6142857142857144,0,2.899583333333333,392,135.19183790774537,0
12257,46,5,0,0.395,0.446,-9.818999999999999,0.0452,0.314,9.259999999999999e-05,0.348,0.18,140.558,500960,0,0.5958556149732621,0.1683155080213904,7,8.349333333333334,642,76.89236665602044,3
5719,18,0,18,0.711,0.941,-1.556,0.318,0.0463,0.0215,0.0982,0.489,150.067,189786,0,0.6785714285714285,0.2375,1,3.1631,182,57.53849072112801,0
6971,55,4,6,0.6970000000000001,0.943,-4.954,0.175,0.0026899999999999997,0.0,0.0773,0.754,99.46799999999999,212853,0,0.451468253968254,-0.09367063492063488,0,3.54755,556,156.7278826232188,0
13313,54,4,6,0.853,0.8759999999999999,-3.415,0.131,0.0426,0.00202,0.0548,0.845,99.236,246667,0,0.5394262566137568,0.1315261994949495,4,4.111116666666667,803,195.32406037289138,2
9838,2,4,6,0.7609999999999999,0.899,-3.09,0.183,0.0135,0.0,0.0719,0.6729999999999999,95.027,217587,0,0.4872938064114534,0.02203645347027701,8,3.62645,774,213.4318686318576,0
7675,60,4,8,0.6779999999999999,0.516,-4.601,0.444,0.0523,0.0,0.13,0.11,133.939,245920,0,0.5348650438814373,0.0013702599768173475,0,4.0986666666666665,907,221.2914769030579,1
9773,34,3,13,0.754,0.436,-10.023,0.0905,0.24600000000000002,0.0,0.204,0.647,87.04,281960,0,0.5335858585858585,0.038816738816738805,0,4.699333333333334,603,128.3160732018726,1
5295,12,4,20,0.875,0.597,-8.141,0.293,0.00017900000000000001,0.0,0.317,0.33899999999999997,87.191,179107,0,0.3448412698412698,-0.10496031746031748,0,2.985116666666667,129,43.21439139732115,0
10540,51,1,22,0.4320000000000001,0.8740000000000001,-5.558,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,195195,0,0.6225071225071224,0.10997150997150996,0,3.25325,199,61.169599631138105,0
8053,0,0,18,0.738,0.953,-2.622,0.13699999999999998,0.00773,0.0111,0.0623,0.499,127.99700000000001,311213,0,0.5767676767676767,0.4777777777777778,0,5.186883333333333,260,50.12644073351692,0
4904,0,2,10,0.6409999999999999,0.5720000000000001,-7.06,0.0323,0.231,0.0131,0.10400000000000001,0.057999999999999996,95.01799999999999,275554,0,0.4912037037037037,-0.3166666666666666,0,4.5925666666666665,307,66.84715155650072,0
15106,57,0,4,0.8170000000000001,0.987,-3.344,0.231,0.0038,0.0432,0.33,0.643,128.002,151875,0,0.0,0.0,0,2.53125,18,7.1111111111111125,0
596,56,5,15,0.616,0.34600000000000003,-10.437999999999999,0.0304,0.604,0.00232,0.0914,0.344,143.351,274493,0,0.5916666666666665,-0.08541666666666667,0,4.574883333333333,190,41.53111372603309,0
5765,65,4,21,0.8170000000000001,0.5870000000000001,-6.502000000000002,0.10800000000000001,0.052000000000000005,0.00165,0.185,0.35200000000000004,140.062,209143,0,0.5973301698301697,0.13300616050616051,0,3.485716666666667,858,246.14737285015514,0
75,36,2,17,0.654,0.312,-10.212,0.0508,0.429,8.59e-06,0.19,0.304,119.9,73813,0,0.8965517241379308,0.670689655172414,0,1.2302166666666667,121,98.35665804126644,4
6951,19,3,14,0.595,0.552,-10.574000000000002,0.0375,0.0254,0.0,0.13,0.647,171.952,308933,0,0.5905797101449274,0.4,1,5.148883333333333,262,50.884819685821846,0
12174,69,4,8,0.858,0.6970000000000001,-5.3610000000000015,0.23,0.114,0.0,0.22399999999999998,0.364,98.012,290836,0,0.4924426020408163,-0.07448979591836738,10,4.847266666666667,2132,439.83550867155367,0
639,7,2,5,0.8029999999999999,0.743,-3.602,0.0681,0.105,2.12e-06,0.099,0.674,108.005,203180,0,0.4946825396825397,0.0955952380952381,6,3.3863333333333334,1110,327.7881681267841,0
7594,53,2,10,0.746,0.84,-5.891,0.0331,0.0917,0.0156,0.35100000000000003,0.7340000000000001,110.0,280120,0,0.44666666666666666,0.1816450216450216,4,4.668666666666667,303,64.90075681850635,0
8392,42,3,13,0.392,0.318,-8.635,0.0328,0.235,1.46e-06,0.128,0.152,145.37,356360,0,0.4376811594202899,0.08152173913043477,0,5.939333333333333,286,48.1535525872713,0
5409,1,1,11,0.88,0.986,-1.588,0.276,0.233,0.0,0.0553,0.655,99.965,252640,0,0.6109860248447212,-0.4417167142311235,15,4.210666666666667,666,158.16972767574416,0
6013,17,2,17,0.8490000000000001,0.581,-5.242999999999999,0.0767,0.18899999999999997,3.61e-06,0.0805,0.779,110.008,198237,0,0.5645918367346936,-0.0446938775510204,5,3.30395,688,208.2355967856656,4
7089,48,1,22,0.77,0.6409999999999999,-7.556,0.0852,0.28300000000000003,0.00038500000000000003,0.142,0.29,123.98200000000001,235360,0,0.7980952380952382,0.02642857142857142,2,3.9226666666666654,217,55.31951053704962,3
7073,19,2,5,0.51,0.8909999999999999,-4.995,0.0451,0.0239,0.0,0.0989,0.408,128.006,226120,0,0.5216205837173579,0.28137480798771114,1,3.768666666666667,284,75.35821687599504,0
9770,55,2,10,0.493,0.865,-4.672,0.0609,0.0027199999999999998,0.276,0.107,0.43,150.003,235276,0,0.6223404255319147,0.06489361702127659,1,3.9212666666666665,252,64.26494840102688,0
13688,48,2,5,0.672,0.8340000000000001,-4.726,0.0305,0.0076900000000000015,2.16e-06,0.0586,0.511,123.054,200016,0,0.4808641975308642,-0.03204264870931537,0,3.3336,299,89.69282457403408,8
991,57,2,3,0.595,0.772,-8.033,0.0367,0.126,0.9259999999999999,0.221,0.345,134.9,163292,0,0.6223039215686275,0.14093137254901958,0,2.7215333333333334,322,118.31565539034368,0
8569,55,2,5,0.67,0.9390000000000001,-2.06,0.0427,0.0463,1.1e-06,0.335,0.264,127.946,209533,0,0.7708333333333335,0.1125,1,3.4922166666666667,361,103.37273842306463,14
6619,47,3,13,0.603,0.7829999999999999,-4.023,0.062,0.449,7.96e-06,0.11900000000000001,0.775,172.041,173104,0,0.8806201550387596,-0.07790697674418602,0,2.8850666666666664,244,84.57343562251593,0
500,58,3,13,0.653,0.415,-7.489,0.0288,0.147,0.0,0.0759,0.762,91.977,202560,0,0.5515873015873016,0.10257936507936508,1,3.3760000000000003,195,57.760663507109,0
3283,29,2,5,0.618,0.94,-5.803999999999999,0.0495,0.000734,0.00217,0.39899999999999997,0.96,155.94899999999996,151707,0,0.6181818181818182,0.3121212121212121,1,2.52845,72,28.475943760011077,0
9057,66,3,23,0.789,0.40399999999999997,-8.363999999999999,0.23,0.205,0.0,0.21899999999999997,0.47200000000000003,122.06200000000001,235566,0,0.4964930902430902,-0.0008918165168165537,0,3.9261,518,131.93754616540588,12
7774,64,4,8,0.938,0.5670000000000001,-9.18,0.278,0.47,0.0,0.0951,0.7020000000000001,140.09799999999998,168004,0,0.508173076923077,-0.12394230769230767,0,2.8000666666666665,567,202.4951786862217,0
5366,86,3,23,0.652,0.557,-5.7139999999999995,0.0318,0.74,0.0,0.124,0.483,150.07299999999995,169354,0,0.3718987823439875,-0.1845700152207,2,2.8225666666666664,398,141.00641260318625,0
10850,77,2,5,0.72,0.763,-4.0680000000000005,0.0523,0.406,0.0,0.18,0.742,101.965,251088,0,0.5594907407407413,0.2909928902116403,13,4.1848,1725,412.2060791435672,3
14873,33,1,11,0.285,0.914,-2.977,0.0695,0.0018800000000000002,0.00305,0.466,0.354,84.682,193062,0,0.4556721056721056,-0.02942051635233453,0,3.2177,451,140.1622276781552,4
5133,59,3,13,0.753,0.594,-9.486,0.0816,0.0711,0.0,0.391,0.562,112.568,193093,0,0.6180897646414887,0.2725403667214012,0,3.2182166666666667,480,149.1509272733864,0
15388,41,2,10,0.617,0.733,-3.76,0.0424,0.0276,0.0,0.0962,0.7190000000000001,149.019,209489,0,0.450462962962963,-0.022942386831275717,8,3.491483333333333,611,174.99725522581141,4
13286,32,5,7,0.48700000000000004,0.96,-5.319,0.106,1.4800000000000002e-05,0.19899999999999998,0.0836,0.132,107.053,255642,0,0.2931818181818181,-0.09318181818181816,0,4.2607,168,39.430140587227456,0
6269,55,5,15,0.5760000000000001,0.653,-9.132,0.03,0.779,0.361,0.113,0.209,147.86700000000005,227920,0,0.0,0.3,2,3.798666666666666,200,52.65005265005265,0
11266,64,2,10,0.531,0.821,-6.812,0.0439,0.0701,0.171,0.124,0.34,129.139,230800,0,0.5558823529411764,0.3970588235294117,3,3.846666666666666,216,56.1525129982669,0
3205,43,4,6,0.759,0.66,-7.5360000000000005,0.45,0.000624,0.0,0.0953,0.231,89.985,154897,0,0.5069444444444444,0.11313131313131315,0,2.5816166666666667,351,135.96131622949443,0
11159,41,0,18,0.679,0.826,-6.151,0.0539,0.021,0.0011300000000000001,0.09300000000000001,0.49,121.99,200656,0,0.6108891108891111,0.27557442557442546,2,3.3442666666666665,493,147.41647396539352,2
6954,69,2,17,0.7879999999999999,0.7979999999999999,-4.68,0.0997,0.18899999999999997,0.0,0.3,0.836,143.05100000000004,303053,0,0.6686154701779691,-0.33275237493987536,5,5.050883333333333,1930,382.11137985764884,0
7434,65,5,15,0.624,0.899,-5.71,0.0295,0.0223,0.000155,0.0975,0.797,104.055,193373,0,0.3265151515151514,0.017739898989898986,0,3.2228833333333333,202,62.676795622967006,0
5371,51,3,13,0.414,0.494,-6.18,0.0275,0.0547,0.00034500000000000004,0.0941,0.275,139.096,272800,0,0.5867063492063493,0.2295138888888889,0,4.546666666666667,275,60.483870967741936,0
